 coin,Network,Address,Exchange Name,Label,Source
,ETH,0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,ABCC 1,Dune
,ETH,0xdc1882f350b42ac9a23508996254b1915c78b204,Allbit,Allbit 1,Dune
,ETH,0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,Allbit,Allbit 2,Dune
,ETH,0x03bdf69b1322d623836afbd27679a1c0afa067e9,AscendEX,AscendEX 1,Dune
,ETH,0x4b1a99467a284cc690e3237bc69105956816f762,AscendEX,AscendEX 2,Dune
,ETH,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,AscendEX,AscendEX 3,Dune
,ETH,0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,ATAIX 1,Dune
,ETH,0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,Beaxy 1,Dune
,ETH,0x258b7b9a1ba92f47f5f4f5e733293477620a82cb,Beldex,Beldex 1,Dune
,ETH,0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo,Bgogo 1,Dune
,ETH,0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo,Bgogo 2,Dune
,ETH,0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,Bibox 1,Dune
,ETH,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,BigONE 1,Dune
,ETH,0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,BIKI,BIKI Old Address,Dune
,ETH,0x6eff3372fa352b239bb24ff91b423a572347000d,BIKI,BIKI 1,Dune
,ETH,0xcce8d59affdd93be338fc77fa0a298c2cb65da59,Bilaxy,Bilaxy 2,Dune
,ETH,0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy,Bilaxy 1,Dune
,ETH,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance,Binance 9,Dune
,ETH,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance,Binance 31,Dune
,ETH,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance,Binance 4,Dune
,ETH,0x06a0048079ec6571cd1b537418869cde6191d42d,Binance,Binance 29,Dune
,ETH,0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance,Binance 32,Dune
,ETH,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance,Binance 15,Dune
,ETH,0x28c6c06298d514db089934071355e5743bf21d60,Binance,Binance 14,Dune
,ETH,0x294b9b133ca7bc8ed2cdd03ba661a4c6d3a834d9,Binance,Binance 41,Dune
,ETH,0x2e581a5ae722207aa59acd3939771e7c7052dd3d,Binance,Binance 25,Dune
,ETH,0x2f47a1c2db4a3b78cda44eade915c3b19107ddcc,Binance,Binance Eth2 Depositor,Dune
,ETH,0x2f7e209e0f5f645c7612d7610193fe268f118b28,Binance,Binance 34,Dune
,ETH,0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance,Binance 23,Dune
,ETH,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,Binance 1,Dune
,ETH,0x44592b81c05b4c35efb8424eb9d62538b949ebbf,Binance,Binance 26,Dune
,ETH,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance,Binance 20,Dune
,ETH,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance,Binance 19,Dune
,ETH,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance,Binance 6,Dune
,ETH,0x4fabb145d64652a948d72533023f6e7a623c7c53,Binance,Binance USD,Dune
,ETH,0x50d669f43b484166680ecc3670e4766cdb0945ce,Binance,Binance 33,Dune
,ETH,0x564286362092d8e7936f0549571a803b203aaced,Binance,Binance 3,Dune
,ETH,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance,Binance 17,Dune
,ETH,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Binance 28,Dune
,ETH,0x5d7f34372fa8708e09689d400a613eee67f75543,Binance,Binance 42,Dune
,ETH,0x61189da79177950a7272c88c6058b96d4bcd6be2,Binance,Binance US,Dune
,ETH,0x708396f17127c42383e3b9014072679b2f60b82f,Binance,Binance 11,Dune
,ETH,0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,Binance,Binance 22,Dune
,ETH,0x85b931a32a0725be14285b66f1a22178c672d69b,Binance,Binance 10,Dune
,ETH,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,Binance,Binance 30,Dune
,ETH,0x8b99f3660622e21f2910ecca7fbe51d654a1517d,Binance,Binance Charity,Dune
,ETH,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance,Binance 13,Dune
,ETH,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance,Binance 18,Dune
,ETH,0xa344c7ada83113b3b56941f6e85bf2eb425949f3,Binance,Binance 27,Dune
,ETH,0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance,Binance JEX,Dune
,ETH,0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,Binance,Wintermute Binance Deposit,Dune
,ETH,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance,Binance 7,Dune
,ETH,0xc365c3315cf926351ccaf13fa7d19c8c4058c8e1,Binance,Binance Pool,Dune
,ETH,0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance,Binance 24,Dune
,ETH,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance,Binance 2,Dune
,ETH,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance,Binance 21,Dune
,ETH,0xd9d93951896b4ef97d251334ef2a0e39f6f6d7d7,Binance,Binance 35,Dune
,ETH,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance,Binance 16,Dune
,ETH,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance,Binance 12,Dune
,ETH,0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1,Binance,Binance 40,Dune
,ETH,0xf977814e90da44bfa03b6295a0616a897441acec,Binance,Binance 8,Dune
,ETH,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance,Binance 5,Dune
,ETH,0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,Bit2C 1,Dune
,ETH,0x0d8824ca76e627e9cc8227faa3b3993986ce9e48,BitBase,BitBase 1,Dune
,ETH,0x6dcd15a0dbefd0700063a4445382d3506391a41a,BitBase,BitBase 2,Dune
,ETH,0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a,Bitberry,Bitberry 1,Dune
,ETH,0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,BitBlinx,Dune
,ETH,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex,Bitfinex 12,Dune
,ETH,0x0cd76cd43992c665fdc2d8ac91b935ca3165e782,Bitfinex,Bitfinex 18,Dune
,ETH,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex,Bitfinex 1,Dune
,ETH,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex,Bitfinex 6,Dune
,ETH,0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex,Bitfinex 14,Dune
,ETH,0x28140cb1ac771d4add91ee23788e50249c10263d,Bitfinex,Bitfinex 16,Dune
,ETH,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex,Bitfinex 7,Dune
,ETH,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex,Bitfinex 10,Dune
,ETH,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex,Bitfinex 8,Dune
,ETH,0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex,Bitfinex 13,Dune
,ETH,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex,Bitfinex 5,Dune
,ETH,0x53b36141490c419fa27ecabfeb8be1ecadc82431,Bitfinex,Bitfinex 17,Dune
,ETH,0x5754284f345afc66a98fbb0a0afe71e0f007b949,Bitfinex,Tether Treasury,Dune
,ETH,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex,Bitfinex 9,Dune
,ETH,0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex,Bitfinex 15,Dune
,ETH,0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex,Bitfinex Old Address 2,Dune
,ETH,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex,Bitfinex 2,Dune
,ETH,0x8103683202aa8da10536036edef04cdd865c225e,Bitfinex,Bitfinex 20,Dune
,ETH,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex,Bitfinex 3,Dune
,ETH,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex,Bitfinex MultiSig 1,Dune
,ETH,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex,Bitfinex 11,Dune
,ETH,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex,Bitfinex MultiSig 3,Dune
,ETH,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex,Bitfinex MultiSig 2,Dune
,ETH,0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex,Bitfinex Old Address 1,Dune
,ETH,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex,Bitfinex 4,Dune
,ETH,0xe92d1a43df510f82c66382592a047d288f85226f,Bitfinex,Bitfinex 19,Dune
,ETH,0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,bitFlyer 1,Dune
,ETH,0xdf5021a4c1401f1125cd347e394d977630e17cf7,Bitfront,Bitfront 1,Dune
,ETH,0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb,Bithumb 7,Dune
,ETH,0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb,Bithumb 10,Dune
,ETH,0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb,Bithumb 3,Dune
,ETH,0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb,Bithumb 2,Dune
,ETH,0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb,Bithumb 8,Dune
,ETH,0x3b83cd1a8e516b6eb9f1af992e9354b15a6f9672,Bithumb,Bithumb Old Address 4,Dune
,ETH,0x5521a68d4f8253fc44bfb1490249369b3e299a4a,Bithumb,Bithumb Old Address 2,Dune
,ETH,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb,Bithumb 12,Dune
,ETH,0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb,Bithumb 1,Dune
,ETH,0x8fa8af91c675452200e49b4683a33ca2e1a34e42,Bithumb,Bithumb Old Address 3,Dune
,ETH,0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb,Bithumb 4,Dune
,ETH,0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb,Bithumb 6,Dune
,ETH,0xbb5a0408fa54287b9074a2f47ab54c855e95ef82,Bithumb,Bithumb Old Address 1,Dune
,ETH,0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb,Bithumb 5,Dune
,ETH,0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb,Bithumb 11,Dune
,ETH,0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb,Bithumb 9,Dune
,ETH,0x1579b5f6582c7a04f5ffeec683c13008c4b0a520,Bitkub,Bitkub Hot Wallet 4,Dune
,ETH,0x3d1d8a1d418220fd53c18744d44c182c46f47468,Bitkub,Bitkub Hot Wallet 2,Dune
,ETH,0x59e0cda5922efba00a57794faf09bf6252d64126,Bitkub,Bitkub Hot Wallet 3,Dune
,ETH,0xdb044b8298e04d442fdbe5ce01b8cc8f77130e33,Bitkub,Bitkub Hot Wallet 1,Dune
,ETH,0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart,BitMart 2,Dune
,ETH,0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,BitMart 1,Dune
,ETH,0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX,BitMEX 1,Dune
,ETH,0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX,BitMEX 2,Dune
,ETH,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,Bitrue 1,Dune
,ETH,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp,Bitstamp 1,Dune
,ETH,0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp,Bitstamp 4,Dune
,ETH,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp,Bitstamp 2,Dune
,ETH,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp,Bitstamp 5,Dune
,ETH,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp,Bitstamp 3,Dune
,ETH,0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp,Bitstamp 6,Dune
,ETH,0xfca70e67b3f93f679992cd36323eeb5a5370c8e4,Bitstamp,Bitstamp Old Address 1,Dune
,ETH,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex,Bittrex 3,Dune
,ETH,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex,Bittrex 2,Dune
,ETH,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,Bittrex 1,Dune
,ETH,0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity,Bity,Dune
,ETH,0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,Bit-Z 1,Dune
,ETH,0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,Bitzlato 1,Dune
,ETH,0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades,BlockTrades 1,Dune
,ETH,0x73957709695e73fd175582105c44743cf0fb6f2f,BW,BW 1,Dune
,ETH,0xbcdfc35b86bedf72f0cda046a3c16829a2ef41d1,BW,BW Old Address,Dune
,ETH,0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,Cashierest 1,Dune
,ETH,0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex,Catex,Dune
,ETH,0x0bb9fc3ba7bcf6e5d6f6fc15123ff8d5f96cee00,Cobinhood,Cobinhood MultiSig,Dune
,ETH,0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood,Cobinhood 1,Dune
,ETH,0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood,Cobinhood 2,Dune
,ETH,0x02466e547bfdab679fc49e96bbfc62b9747d997c,Coinbase,Coinbase 8,Dune
,ETH,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase,Coinbase 4,Dune
,ETH,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase,Coinbase 2,Dune
,ETH,0x6b76f8b1e9e59913bfe758821887311ba1805cab,Coinbase,Coinbase 9,Dune
,ETH,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase,Coinbase 1,Dune
,ETH,0x77696bb39917c91a0c3908d577d5e322095425ca,Coinbase,Coinbase 11,Dune
,ETH,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,Coinbase,Coinbase 12,Dune
,ETH,0x881d4032abe4188e2237efcd27ab435e81fc6bb1,Coinbase,Coinbase Commerce 2,Dune
,ETH,0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,Coinbase,Coinbase 13,Dune
,ETH,0xa090e606e30bd747d4e6245a1517ebe430f0057e,Coinbase,Coinbase Miscellaneous,Dune
,ETH,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,Coinbase 10,Dune
,ETH,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase,Coinbase 5,Dune
,ETH,0xb739d0895772dbb71a89a3754a160269068f0d45,Coinbase,Coinbase 14,Dune
,ETH,0xd688aea8f7d450909ade10c47faa95707b0682d9,Coinbase,Coinbase 7,Dune
,ETH,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase,Coinbase 3,Dune
,ETH,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase,Coinbase 6,Dune
,ETH,0xf6874c88757721a02f47592140905c4336dfbc61,Coinbase,Coinbase Commerce,Dune
,ETH,0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene,Coinbene Cold Wallet 1,Dune
,ETH,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,Coinbene 1,Dune
,ETH,0xbf1a97d8d4229d61b031214d5bbe9a5cb1e737f9,CoinDhan,CoinDhan 1,Dune
,ETH,0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,CoinEx,CoinEx 2,Dune
,ETH,0xb9ee1e551f538a464e8f8c41e9904498505b49b0,CoinEx,CoinEx 1,Dune
,ETH,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange,CoinExchange 1,Dune
,ETH,0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,Coinhako 1,Dune
,ETH,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako,Coinhako Hot Wallet,Dune
,ETH,0x165fe6a10812faa49515522d685a27c6bf12dba9,CoinMetro,CoinMetro Vault Feb 2021,Dune
,ETH,0x7c1c73bf60feb40cbcf0f12324200238ee23bb54,CoinMetro,CoinMetro MultiSig,Dune
,ETH,0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro,CoinMetro 1,Dune
,ETH,0xbac7c449689a2d3c51c386d8e657338c41ab3030,CoinMetro,CoinMetro Treasury,Dune
,ETH,0xdd06b66c76d9c6fdc41935a7b32566c646325005,CoinMetro,CoinMetro XCM Utility Vault,Dune
,ETH,0xf3e35734b7413f87c2054a16ce04230d803e4dc3,CoinMetro,CoinMetro Vault Aug 2020,Dune
,ETH,0xfad672dc92c2d2db0aa093331bd1098e30249ab8,CoinMetro,CoinMetro Vault Feb 2020,Dune
,ETH,0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,Coinone 1,Dune
,ETH,0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW,CoinW 3,Dune
,ETH,0x6f31d347457962c9811ff953742870ef5a755de3,CoinW,CoinW 4,Dune
,ETH,0x8705ccfd8a6df3785217c307cbebf9b793310b94,CoinW,CoinW 1,Dune
,ETH,0xcb243bf48fb443082fae7db47ec96cb120cd6801,CoinW,CoinW 2,Dune
,ETH,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS,COSS 1,Dune
,ETH,0x43f07efe28e092a0fe4ec5b5662022b461ffac80,COSS,COSS Hot Wallet,Dune
,ETH,0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS,COSS Old Hot Wallet,Dune
,ETH,0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,CREX24 1,Dune
,ETH,0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com,Crypto.com 2,Dune
,ETH,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,Crypto.com 1,Dune
,ETH,0x72a53cdbbcc1b9efa39c834a540550e23463aacb,Crypto.com,Crypto.com 3,Dune
,ETH,0x7758e507850da48cd47df1fb5f875c23e3340c50,Crypto.com,Crypto.com 4,Dune
,ETH,0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com,Crypto.com 5,Dune
,ETH,0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia,Cryptopia 2,Dune
,ETH,0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia,Cryptopia 1,Dune
,ETH,0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,DigiFinex 1,Dune
,ETH,0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,DMEX 1,Dune
,ETH,0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo,Exmo 1,Dune
,ETH,0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo,Exmo 2,Dune
,ETH,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,FixedFloat 1,Dune
,ETH,0x14301566b9669b672878d86ff0b1d18dd58054e9,FlataExchange,FlataExchange,Dune
,ETH,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,FTX,FTX (formerly Blockfolio),Dune
,ETH,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX,FTX 1,Dune
,ETH,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX,FTX 2,Dune
,ETH,0x7abe0ce388281d2acf297cb089caef3819b13448,FTX US,FTX US,Dune
,ETH,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Gate.io 1,Dune
,ETH,0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io,Gate.io 3,Dune
,ETH,0x234ee9e35f8e9749a002fc42970d570db716453b,Gate.io,Gate.io 4,Dune
,ETH,0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io,Gate.io 2,Dune
,ETH,0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Gate.io 5,Dune
,ETH,0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini,Gemini 4,Dune
,ETH,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini,Gemini 3,Dune
,ETH,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,Gemini,Gemini 2,Dune
,ETH,0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,Gemini,Gemini 6,Dune
,ETH,0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini,Gemini 5,Dune
,ETH,0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,Gemini 1,Dune
,ETH,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini,Gemini 7,Dune
,ETH,0x59a5208b32e627891c389ebafc644145224006e8,HitBTC,HitBTC 2,Dune
,ETH,0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC,HitBTC 1,Dune
,ETH,0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC,HitBTC 3,Dune
,ETH,0x008932be50098089c6a075d35f4b5182ee549f8a,Hoo.com,Hoo.com 6,Dune
,ETH,0x0093e5f2a850268c0ca3093c7ea53731296487eb,Hoo.com,Hoo.com 5,Dune
,ETH,0x980a4732c8855ffc8112e6746bd62095b4c2228f,Hoo.com,Hoo.com 1,Dune
,ETH,0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,Hoo.com,Hoo.com 3,Dune
,ETH,0xd0ec209ad2134899148bec8aef905a6e9997456a,Hoo.com,Hoo.com 2,Dune
,ETH,0xec293b9c56f06c8f71392269313d7e2da681d9ac,Hoo.com,Hoo.com 4,Dune
,ETH,0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,Hotbit 1,Dune
,ETH,0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,Hotbit,Hotbit 3,Dune
,ETH,0x8533a0bd9310eb63e7cc8e1116c18a3d67b1976a,Hotbit,Hotbit 2,Dune
,ETH,0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Huobi,Huobi 26,Dune
,ETH,0x04645af26b54bd85dc02ac65054e87362a72cb22,Huobi,Huobi Old Address 8,Dune
,ETH,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi,Huobi 27,Dune
,ETH,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,Huobi,Huobi 36,Dune
,ETH,0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Huobi,Huobi 28,Dune
,ETH,0x0c92efa186074ba716d0e2156a6ffabd579f8035,Huobi,Huobi Old Address 11,Dune
,ETH,0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi,Huobi 9,Dune
,ETH,0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Huobi,Huobi 24,Dune
,ETH,0x170af0a02339743687afd3dc8d48cffd1f660728,Huobi,Huobi Old Address 15,Dune
,ETH,0x18916e1a2933cb349145a280473a5de8eb6630cb,Huobi,Huobi 21,Dune
,ETH,0x1b93129f05cc2e840135aab154223c75097b69bf,Huobi,Huobi Old Address 2,Dune
,ETH,0x1c515eaa87568c850043a89c2d2c2e8187adb056,Huobi,Huobi Old Address 24,Dune
,ETH,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,Huobi,Huobi Old Address 1,Dune
,ETH,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi,Huobi 18,Dune
,ETH,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,Huobi,Huobi Old Address 7,Dune
,ETH,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi,Huobi 33,Dune
,ETH,0x32598293906b5b17c27d657db3ad2c9b3f3e4265,Huobi,Huobi 13,Dune
,ETH,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,Huobi,Huobi 40,Dune
,ETH,0x46705dfff24256421a05d056c29e81bdc09723b8,Huobi,Huobi 12,Dune
,ETH,0x48ab9f29795dfb44b36587c50da4b30c0e84d3ed,Huobi,Huobi Old Address 18,Dune
,ETH,0x49517ca7b7a50f592886d4c74175f4c07d460a70,Huobi,Huobi 38,Dune
,ETH,0x4d77a1144dc74f26838b69391a6d3b1e403d0990,Huobi,Huobi 32,Dune
,ETH,0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,Huobi,Huobi 25,Dune
,ETH,0x5861b8446a2f6e19a067874c133f04c578928727,Huobi,Huobi 14,Dune
,ETH,0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,Huobi,Huobi 39,Dune
,ETH,0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi,Huobi 5,Dune
,ETH,0x60b45f993223dcb8bdf05e3391f7630e5a51d787,Huobi,Huobi Old Address 25,Dune
,ETH,0x636b76ae213358b9867591299e5c62b8d014e372,Huobi,Huobi Old Address 31,Dune
,ETH,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi,Huobi 2,Dune
,ETH,0x6edb9d6547befc3397801c94bb8c97d2e8087e2f,Huobi,Huobi Old Address 21,Dune
,ETH,0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Huobi,Huobi 22,Dune
,ETH,0x6f50c6bff08ec925232937b204b0ae23c488402a,Huobi,Huobi Old Address 5,Dune
